NIGHT_OF_STAY,OCCUPANCY_PERCENTAGE,TOTAL_NET_REVENUE,ADR
2026-05-31,16.00,1366.20,342
2026-05-30,16.00,1207.80,302
2026-05-29,12.00,523.05,174
2026-05-28,12.00,485.10,162
2026-05-27,24.00,1138.50,190
2026-05-26,20.00,996.60,199
2026-05-25,12.00,511.50,171
2026-05-24,20.00,963.60,193
2026-05-23,12.00,735.90,245
2026-05-22,20.00,1151.70,230
2026-05-21,20.00,1423.95,285
2026-05-20,12.00,1067.55,356
2026-05-19,8.00,750.75,375
2026-05-18,20.00,1344.75,269
2026-05-17,32.00,1902.45,238
2026-05-16,32.00,1933.80,242
2026-05-15,20.00,1235.85,247
2026-05-14,40.00,2611.95,261
2026-05-13,32.00,1793.55,224
2026-05-12,20.00,1090.65,218
2026-05-11,4.00,336.60,337
2026-05-10,8.00,732.60,366
2026-05-09,4.00,336.60,337
2026-05-08,8.00,495.00,248
2026-05-07,20.00,1166.55,233
2026-05-06,24.00,1288.65,215
2026-05-05,16.00,755.70,189
2026-05-04,24.00,1359.60,227
2026-05-03,28.00,1720.95,246
2026-05-02,28.00,1864.50,266
2026-05-01,28.00,1818.30,260
